u0,lastpont,LSE
"[0.5792929292929293, 0.8909090909090909, 0.8888888888888888, 0.696969696969697, 8.484848484848485e-5]","[0.16737519404710466, 0.4006236381849729, 0.01234492230108926, 0.024307795922567394, 3.549848318809154e-19]","[-0.00012523803636524085, -0.19422332928999783, -0.42030012595735705, -0.8757666619896782, -Inf]"
"[0.9141414141414141, 0.6272727272727273, 0.24242424242424243, 0.8181818181818182, 6.868686868686868e-5]","[0.16716394637778123, 0.40103657124721, 0.012182453810453428, 0.02431929801658361, 3.4760795301782824e-19]","[-0.0001250513040915591, -0.19422223244489564, -0.42030065423091734, -0.875767451372446, -Inf]"
"[0.8111111111111111, 0.4636363636363636, 0.06060606060606061, 0.08080808080808081, 2.5252525252525253e-5]","[0.1539041470003353, 0.4827000691102029, 0.0012949887863085248, 0.0361615683417766, 9.313424392759869e-20]","[-0.00024663175349091195, -0.19401328746643126, -0.4203258195610992, -0.8758229855332135, -Inf]"
"[0.19292929292929292, 0.9545454545454546, 0.43434343434343436, 0.36363636363636365, 4.6464646464646464e-5]","[0.7771204190774046, 0.6394461870063625, 0.7364513840243855, 0.4830418340329275, 9.999999999990438e-5]","[4.3721527501284595e-6, -0.19493817827502746, -0.42015833391393953, -0.8746321689763175, -Inf]"
"[0.6222222222222222, 0.7545454545454545, 0.25252525252525254, 0.5353535353535354, 6.262626262626262e-5]","[0.3189591677779837, 0.3664856889969908, 0.17337563448188936, 0.0892985909803437, 1.2270591261258937e-12]","[-0.00105537812288824, -0.1938791351613929, -0.4201251211189029, -0.8752959849206524, -Inf]"
"[0.9570707070707071, 0.7272727272727273, 0.29292929292929293, 0.6060606060606061, 3.939393939393939e-5]","[0.17621210748125268, 0.387607104814048, 0.019246854158065783, 0.024535911114194925, 8.545000428293603e-19]","[-0.00014060647101619606, -0.194257691901808, -0.4202780789566864, -0.8757370132414998, -Inf]"
"[0.15, 0.3181818181818182, 0.45454545454545453, 1.0, 9.191919191919192e-5]","[0.1898054280917431, 0.3762463329821348, 0.03041550193245743, 0.026423484436441998, 3.2995115554067148e-18]","[-0.0001768891184055366, -0.19428679917366476, -0.4202464214172953, -0.8756992028796813, -Inf]"
"[0.3303030303030303, 0.9, 0.6060606060606061, 0.6363636363636364, 3.131313131313131e-5]","[0.23297738827122058, 0.36288243260391, 0.07128698999440485, 0.03896742908077267, 2.403360787850605e-16]","[-0.00031527593055683835, -0.1943135526535808, -0.4201735262444191, -0.8755911360908595, -Inf]"
"[0.19292929292929292, 0.7454545454545455, 0.6161616161616161, 0.9191919191919192, 2.121212121212121e-5]","[0.190696600113871, 0.3757052145549189, 0.031174554512783146, 0.026589704107493995, 3.605039870593335e-18]","[-0.00017948862005041458, -0.19428814376844952, -0.4202444821552642, -0.875696906319747, -Inf]"
"[0.9398989898989899, 0.8727272727272727, 0.45454545454545453, 0.5454545454545454, 7.575757575757576e-5]","[0.18905710674704237, 0.37671551545223175, 0.029780777479110534, 0.026287404753842773, 3.063047109955434e-18]","[-0.00017471981570275994, -0.1942856289967835, -0.42024806369085926, -0.8757011432643309, -Inf]"
"[0.9398989898989899, 0.37272727272727274, 0.8080808080808081, 0.6565656565656566, 6.868686868686868e-5]","[0.15512175647650953, 0.45378665338846386, 0.002718022597784692, 0.03036046848585016, 1.0504937697406415e-19]","[-0.0001809320819986127, -0.19408459112508375, -0.4203260709100516, -0.8758214519872699, -Inf]"
"[0.7853535353535354, 0.15454545454545454, 0.9292929292929293, 0.08080808080808081, 3.434343434343434e-5]","[0.1544688366884247, 0.5253834445788597, 0.00047129526096062203, 0.047487560504133025, 9.866536118766148e-20]","[-0.0003601730111216356, -0.19391437231136086, -0.42032446888663527, -0.8758008221297313, -Inf]"
"[0.8626262626262626, 0.6818181818181818, 0.40404040404040403, 0.5858585858585859, 4.545454545454545e-5]","[0.17296387796528384, 0.3916104667482243, 0.01668240508823097, 0.024321023255749093, 6.187072792136456e-19]","[-0.00013365488952702743, -0.19424718788871562, -0.4202861197616821, -0.8757472474004966, -Inf]"
"[0.647979797979798, 0.8, 0.9090909090909091, 0.29292929292929293, 9.191919191919192e-5]","[0.1751228546680542, 0.3888717656340408, 0.018382883860242998, 0.024450520313115613, 7.668130584105999e-19]","[-0.00013815712366420306, -0.19425438279787707, -0.4202807606971375, -0.8757403742055327, -Inf]"
"[0.8797979797979798, 0.23636363636363636, 0.7373737373737373, 0.35353535353535354, 7.474747474747475e-5]","[0.153909409963101, 0.4823333507141878, 0.001306913932003712, 0.03607872522217659, 9.318204397668641e-20]","[-0.00024572123582664344, -0.19401417056182368, -0.42032583607365154, -0.8758230602122433, -Inf]"
"[0.42474747474747476, 0.8272727272727273, 0.7676767676767676, 0.0, 9.595959595959596e-5]","[0.21058113882088333, 0.3672896109688479, 0.04903337921047506, 0.031355480878150294, 2.599405736171938e-17]","[-0.0002405059657872976, -0.1943078015013104, -0.4202060207166596, -0.8756477263814199, -Inf]"
"[0.48484848484848486, 0.2727272727272727, 0.15151515151515152, 0.797979797979798, 1.8181818181818182e-5]","[0.17211817801990184, 0.39277832365287185, 0.01602042370476395, 0.024286369008960113, 5.688204362873891e-19]","[-0.00013204223645283119, -0.19424410965585742, -0.420288231782435, -0.8757500241919558, -Inf]"
"[0.5191919191919192, 1.0, 0.42424242424242425, 0.36363636363636365, 6.060606060606061e-6]","[0.6690268658502844, 0.5081322834220087, 0.6097552363703426, 0.34627627979122566, 9.999999476724533e-5]","[-0.00038839257813097516, -0.19519418497085475, -0.42022646893138915, -0.8742452899231301, -Inf]"
"[0.5964646464646465, 0.9, 0.5151515151515151, 0.20202020202020202, 4.7474747474747476e-5]","[0.34126782326150706, 0.37043258470386176, 0.20228413682956695, 0.10615521131115442, 1.1269023368074585e-11]","[-0.0006959131053304308, -0.19432588881585383, -0.42012285823367795, -0.8751998185655437, -Inf]"
"[0.2702020202020202, 0.4727272727272727, 0.37373737373737376, 0.8080808080808081, 3.838383838383838e-5]","[0.23928156022531932, 0.36223557189724465, 0.07794612017054027, 0.04153863339158667, 4.49429708200188e-16]","[-0.0003381738190103043, -0.19431235560820756, -0.42016629659350563, -0.8755741496511373, -Inf]"
"[0.8196969696969697, 0.8090909090909091, 0.5050505050505051, 0.13131313131313133, 9.090909090909091e-6]","[0.22710576426713305, 0.36368856888966006, 0.06523746469510652, 0.036743492177810276, 1.3415593858057115e-16]","[-0.0002948405866131525, -0.19431350570206274, -0.42018098970541745, -0.8756064583952965, -Inf]"
"[0.5878787878787879, 0.9454545454545454, 0.24242424242424243, 0.6767676767676768, 6.767676767676768e-5]","[0.39620998140714186, 0.38347694699556006, 0.27402781371142465, 0.14854609012238423, 2.671409720107093e-9]","[-0.0005698767576341356, -0.19466757467300994, -0.42012341165735007, -0.8749535344787159, -Inf]"
"[0.793939393939394, 0.18181818181818182, 0.5050505050505051, 0.32323232323232326, 4.242424242424242e-5]","[0.1538813924502746, 0.4844954931147676, 0.0012382686916752616, 0.03657059931332917, 9.292846332759597e-20]","[-0.00025111177366444673, -0.19400897189728056, -0.4203257372280575, -0.8758225880686623, -Inf]"
"[0.5535353535353535, 0.11818181818181818, 0.030303030303030304, 0.15151515151515152, 7.878787878787879e-5]","[0.15393678847777417, 0.5050850542855565, 0.0007498816517452596, 0.041675510421561035, 9.350370168950258e-20]","[-0.0003046782033299417, -0.19396044144603491, -0.4203248216144063, -0.8758144844990315, -Inf]"
"[0.3303030303030303, 0.9636363636363636, 0.46464646464646464, 0.41414141414141414, 2.121212121212121e-5]","[0.673606470287299, 0.5116166756605164, 0.6154365263876057, 0.3502320478638193, 9.999999670096555e-5]","[-0.00037915717599755987, -0.19519213861931067, -0.420225674661993, -0.8742494747015352, -Inf]"
"[0.16717171717171717, 0.38181818181818183, 0.9191919191919192, 0.6565656565656566, 4.949494949494949e-5]","[0.15779683358808952, 0.4314647334151196, 0.00496315358709238, 0.026946379145323156, 1.3700860594215338e-19]","[-0.00014284695522660153, -0.19414186675907047, -0.4203222761712778, -0.8758082265032169, -Inf]"
"[0.18434343434343434, 0.4636363636363636, 0.9090909090909091, 0.41414141414141414, 6.868686868686868e-5]","[0.15704711099435087, 0.4361555549796681, 0.004361245155952609, 0.02757901240960265, 1.2717527183450562e-19]","[-0.00014957617841123024, -0.1941296817194694, -0.42032359437165684, -0.87581201290534, -Inf]"
"[0.9742424242424242, 0.5727272727272728, 0.08080808080808081, 0.5555555555555556, 1.313131313131313e-5]","[0.16813937543815324, 0.3991824852925556, 0.012933389753305062, 0.02427493617277832, 3.830023685125574e-19]","[-0.00012601329730891744, -0.19422715578561586, -0.4202982118569593, -0.8757638442447419, -Inf]"
"[0.6823232323232323, 0.6727272727272727, 0.6161616161616161, 0.8484848484848485, 0.0001]","[0.1666967072393373, 0.4019737292119301, 0.011823394439150604, 0.02434870770756665, 3.318316798477438e-19]","[-0.0001246840980023815, -0.19421974257118824, -0.42030182096187835, -0.8757692139961482, -Inf]"
"[0.3904040404040404, 0.8909090909090909, 0.9494949494949495, 0.6161616161616161, 5.959595959595959e-5]","[0.17061610753393772, 0.3950049815574832, 0.014849977862093784, 0.024250305259447227, 4.899231753931422e-19]","[-0.00012943156718300147, -0.19423822717149566, -0.420291995098301, -0.8757550866437384, -Inf]"
"[0.793939393939394, 0.2, 0.46464646464646464, 0.5757575757575758, 7.171717171717172e-5]","[0.1549054995057836, 0.4567576820918673, 0.002514148337208405, 0.030887605195792214, 1.0282071936609165e-19]","[-0.0001869922590616309, -0.19407710974516373, -0.4203262130799322, -0.8758223573146577, -Inf]"
"[0.7424242424242424, 0.6818181818181818, 0.09090909090909091, 0.32323232323232326, 9.797979797979798e-5]","[0.4250189437170649, 0.39185546819861217, 0.311201601922457, 0.17009431541266176, 4.71806195476103e-8]","[-0.0005581606820452575, -0.19478483077903475, -0.4201267718971376, -0.87482716126255, -Inf]"
"[0.8282828282828283, 0.7, 0.3434343434343434, 0.40404040404040403, 7.878787878787879e-5]","[0.1917953523626003, 0.375063227539038, 0.03211517319040584, 0.026800745265672842, 4.020943892561377e-18]","[-0.00018271599798378308, -0.1942897315628205, -0.42024211608201234, -0.8756940944983952, -Inf]"
"[0.854040404040404, 0.7818181818181819, 0.30303030303030304, 0.36363636363636365, 6.767676767676768e-5]","[0.23541014501829627, 0.36260754182350496, 0.07383689458915005, 0.039937041095128224, 3.060019982462977e-16]","[-0.0003239814072421325, -0.19431325052106366, -0.4201706422660002, -0.8755846511721709, -Inf]"
"[0.6651515151515152, 0.16363636363636364, 0.8787878787878788, 0.3434343434343434, 9.696969696969698e-5]","[0.15383974071317974, 0.49056958472368156, 0.00106539615471592, 0.0379968947624635, 9.256098392893149e-20]","[-0.0002665236746931394, -0.19399447071723183, -0.42032544892011575, -0.8758208604796675, -Inf]"
"[0.7595959595959596, 0.42727272727272725, 0.020202020202020204, 0.8787878787878788, 3.434343434343434e-5]","[0.172510301939298, 0.3922296150291113, 0.01632708587400097, 0.024301226385307743, 5.914305642886636e-19]","[-0.00013277821632733323, -0.1942455566095213, -0.4202872517639092, -0.8757487303961305, -Inf]"
"[0.18434343434343434, 0.6090909090909091, 0.15151515151515152, 0.5858585858585859, 3.939393939393939e-5]","[0.6775552127117219, 0.5146948031309401, 0.6203512312229633, 0.35369953172219, 9.999999778375414e-5]","[-0.0003708764671208764, -0.1951900719294883, -0.42022482822767054, -0.8742536580708938, -Inf]"
"[0.5106060606060606, 0.4636363636363636, 0.36363636363636365, 0.8282828282828283, 1.919191919191919e-5]","[0.17568779170520032, 0.3882068068905584, 0.018830458003453385, 0.024493241393328466, 8.1110614886215025e-19]","[-0.00013941414599086794, -0.19425612388936514, -0.4202793677725619, -0.8757386226869919, -Inf]"
"[0.3904040404040404, 0.8181818181818182, 0.9090909090909091, 0.41414141414141414, 6.363636363636364e-5]","[0.1776050358127153, 0.3860901315713823, 0.020357883589613872, 0.02466261496220472, 9.813931722608692e-19]","[-0.00014388332152562696, -0.19426164805297585, -0.4202746749221767, -0.8757328086427154, -Inf]"
"[0.5191919191919192, 0.9545454545454546, 0.0, 0.21212121212121213, 4.3434343434343435e-5]","[0.6643194003043447, 0.8330810034301246, 0.2066972920177855, 0.7165068368138648, 9.999999316020004e-5]","[-1.6302947021941644e-5, -0.19439713764278682, -0.4194568673949769, -0.8756960075894039, -Inf]"
"[0.7252525252525253, 0.45454545454545453, 0.7070707070707071, 0.6666666666666666, 1.01010101010101e-6]","[0.1567320541854205, 0.438379777730927, 0.004104269880413237, 0.027895608500957805, 1.2325729000151872e-19]","[-0.0001530325512236221, -0.19412393035989622, -0.4203241033239831, -0.8758136109778468, -Inf]"
"[0.5191919191919192, 0.41818181818181815, 0.3939393939393939, 0.8080808080808081, 1.919191919191919e-5]","[0.16698193766954525, 0.4013976615883521, 0.012042539352085328, 0.024330092475178103, 3.4137517596649785e-19]","[-0.000124900600137498, -0.1942212731736143, -0.420301109018583, -0.8757681352316214, -Inf]"
"[0.43333333333333335, 0.10909090909090909, 0.5757575757575758, 0.5252525252525253, 1.4141414141414141e-5]","[0.15428044876552524, 0.4684311692887424, 0.001858281134206537, 0.03311317697853426, 9.664963814413656e-20]","[-0.00021249764653384932, -0.1940480543141663, -0.42032630393380865, -0.8758241855756127, -Inf]"
"[0.2873737373737374, 0.11818181818181818, 0.5050505050505051, 0.9090909090909091, 1.8181818181818182e-5]","[0.1569825088331314, 0.43659778892850715, 0.0043087803171730985, 0.027641126386655782, 1.2636183083630038e-19]","[-0.0001502503348314128, -0.1941285368185819, -0.4203237011412902, -0.8758123405671432, -Inf]"
"[0.8025252525252525, 0.6272727272727273, 0.43434343434343436, 0.30303030303030304, 2.0202020202020203e-5]","[0.16457480647065834, 0.40670169005083295, 0.010196729603573476, 0.024561344705200695, 2.6872695832963936e-19]","[-0.00012394958884722273, -0.1942071759455306, -0.42030707408170115, -0.8757775280333886, -Inf]"
"[0.6909090909090909, 0.509090909090909, 0.2828282828282828, 0.050505050505050504, 2.4242424242424244e-5]","[0.1538524854724151, 0.48775077945036827, 0.001142137522879218, 0.037326810952756924, 9.267049898487011e-20]","[-0.000259324452112637, -0.1940011812737421, -0.42032558362275235, -0.8758217346491183, -Inf]"
"[0.31313131313131315, 0.6818181818181818, 0.23232323232323232, 0.98989898989899, 8.080808080808081e-5]","[0.2326444969654661, 0.36292263332421837, 0.07094003034842147, 0.03883695275559624, 2.3252187078505114e-16]","[-0.0003140963903816534, -0.19431357896286724, -0.4201739302417722, -0.8755920169455361, -Inf]"
"[0.48484848484848486, 0.8181818181818182, 0.40404040404040403, 0.5757575757575758, 1.5151515151515151e-5]","[0.3173172868720886, 0.36623214011292315, 0.17126681557320453, 0.0880904865696153, 1.0423490100145583e-12]","[-0.00117813399429482, -0.19375006382914112, -0.4201253725842385, -0.875302846155147, -Inf]"
"[0.21868686868686868, 0.6818181818181818, 0.20202020202020202, 0.8787878787878788, 9.494949494949495e-5]","[0.2890882490436326, 0.3627853157368406, 0.13567185203166657, 0.06845514241299595, 6.313381429676906e-14]","[-0.0006082897011557298, -0.1942146566281638, -0.4201323910209767, -0.8754143199712919, -Inf]"
"[0.7338383838383838, 0.8545454545454545, 0.43434343434343436, 0.9090909090909091, 8.686868686868687e-5]","[0.17594322863183415, 0.3879125931381618, 0.019033196724207845, 0.024513673069594597, 8.319644602657498e-19]","[-0.00013999203332446731, -0.19425689342625907, -0.42027873939725197, -0.8757378366924948, -Inf]"
"[0.31313131313131315, 0.5272727272727272, 0.3434343434343434, 0.16161616161616163, 3.131313131313131e-5]","[0.2794317992345126, 0.36205132249544153, 0.12387683669671426, 0.06236831238862058, 2.4201410826494416e-14]","[-0.0005333784482956972, -0.19425511120697553, -0.42013634516602966, -0.8754491554619147, -Inf]"
"[0.7338383838383838, 0.12727272727272726, 0.6666666666666666, 0.8888888888888888, 2.8282828282828282e-5]","[0.15495622025161288, 0.4560281156524825, 0.0025626446743423612, 0.030756662626106924, 1.0333905585922916e-19]","[-0.00018548636854694096, -0.19407894365900857, -0.42032618359310386, -0.8758221521732292, -Inf]"
"[0.6823232323232323, 0.10909090909090909, 0.42424242424242425, 0.6060606060606061, 5.050505050505051e-6]","[0.15481073222108374, 0.4581827305146838, 0.0024222344195988926, 0.031146169425723465, 1.0185937831535226e-19]","[-0.00018996593187697262, -0.1940735336592335, -0.42032626116979416, -0.8758227262084148, -Inf]"
"[0.49343434343434345, 0.5272727272727272, 0.18181818181818182, 0.43434343434343436, 9.898989898989899e-5]","[0.40043289036032115, 0.38464470774807036, 0.2795079704169042, 0.15174791339298485, 4.068833312145494e-9]","[-0.0005672383579048498, -0.19468617263509244, -0.4201237574273916, -0.8749347468467848, -Inf]"
"[0.8196969696969697, 0.6454545454545455, 0.8888888888888888, 0.7878787878787878, 3.3333333333333335e-5]","[0.15853868006961555, 0.4274663935630233, 0.0055492458490242055, 0.02644661928578329, 1.474887937637026e-19]","[-0.00013776606496258476, -0.19415230941079262, -0.4203208529242104, -0.8758045348777169, -Inf]"
"[0.21868686868686868, 0.5636363636363636, 0.1414141414141414, 0.25252525252525254, 7.878787878787879e-5]","[0.6703323792240791, 0.8310576481184251, 0.21588472385960059, 0.7137758871593195, 9.999999624879711e-5]","[-2.0807581538029973e-5, -0.19440502204309548, -0.4194603779339055, -0.8756694044953461, -Inf]"
"[0.3303030303030303, 0.7454545454545455, 0.9393939393939394, 0.9191919191919192, 9.090909090909091e-6]","[0.1623726448156479, 0.4126627054335694, 0.00851114837012388, 0.02496138824968242, 2.1589554156590563e-19]","[-0.0001253714582355994, -0.19419134622288955, -0.42031238581137076, -0.8757867578720349, -Inf]"
"[0.6823232323232323, 0.10909090909090909, 0.06060606060606061, 0.13131313131313133, 1.8181818181818182e-5]","[0.15402775846466174, 0.5100969511256483, 0.0006663722057207328, 0.043036356380248816, 9.437095630177265e-20]","[-0.0003181945770143802, -0.1939488995375096, -0.42032466217450853, -0.8758115982098853, -Inf]"
"[0.6393939393939394, 0.21818181818181817, 0.29292929292929293, 0.5252525252525253, 3.838383838383838e-5]","[0.15557828542712268, 0.448462379241732, 0.003129195272025989, 0.029456799883762933, 1.099167821705702e-19]","[-0.00017057975434754715, -0.19409808431638295, -0.42032565160026486, -0.875819354688779, -Inf]"
"[0.16717171717171717, 0.5454545454545454, 0.8888888888888888, 0.5555555555555556, 2.4242424242424244e-5]","[0.16730683699336893, 0.40075654354298196, 0.012292340286485301, 0.0243113989416425, 3.5258079298347984e-19]","[-0.00012517624674756296, -0.19422297628152704, -0.4203002969472404, -0.8757669169181531, -Inf]"
