u0,lastpont,LSE
"[0.896969696969697, 0.23636363636363636, 0.7171717171717171, 0.5656565656565656, 3.6363636363636364e-5]","[0.15447450853221723, 0.4640917217935996, 0.002077754100444035, 0.03225740886875023, 9.852288270502777e-20]","[-0.00020272487372240757, -0.19405879151257718, -0.4203263427352562, -0.8758238178236447, -Inf]"
"[0.6823232323232323, 0.32727272727272727, 0.30303030303030304, 0.5757575757575758, 5.959595959595959e-5]","[0.15767019389842232, 0.43220569443078194, 0.0048622679484121665, 0.027043060588607108, 1.3529563224590267e-19]","[-0.00014385683345465196, -0.1941399371356243, -0.4203225082016493, -0.8758088630017573, -Inf]"
"[0.9398989898989899, 0.9363636363636364, 0.9797979797979798, 0.9595959595959596, 4.0404040404040405e-5]","[0.15918158138407112, 0.4243956909726217, 0.006051931501195363, 0.02608905374834774, 1.5721862939080168e-19]","[-0.00013431433936205475, -0.19416036199977152, -0.4203195445578035, -0.8758013959927714, -Inf]"
"[0.22727272727272727, 0.6, 0.1717171717171717, 0.6868686868686869, 6.767676767676768e-5]","[0.5172145568586423, 0.4248913646391898, 0.42622979933345156, 0.23502758012006858, 8.215454112916029e-5]","[-0.0005431090007419065, -0.19505769898063707, -0.4201597833409876, -0.8744700115649081, -Inf]"
"[0.7080808080808081, 0.6, 0.797979797979798, 0.3939393939393939, 6.161616161616162e-5]","[0.15831307049174076, 0.42862541866026355, 0.005371792176271262, 0.026587604102402844, 1.4421927991643446e-19]","[-0.00013917299694357415, -0.1941492772195645, -0.4203212965091476, -0.8758056502518711, -Inf]"
"[0.42474747474747476, 0.5, 0.30303030303030304, 1.0, 9.191919191919192e-5]","[0.19249716178904935, 0.3746670771065143, 0.03271874341440831, 0.026939007047966416, 4.311365249638346e-18]","[-0.0001847894901006569, -0.19429070701964848, -0.4202406192775881, -0.8756923089824619, -Inf]"
"[0.8883838383838384, 0.20909090909090908, 0.8888888888888888, 0.2222222222222222, 8.282828282828283e-5]","[0.15389917791142813, 0.5023626074426686, 0.0008001500922458555, 0.04095607273116986, 9.314563688086666e-20]","[-0.0002974014417940933, -0.19396675601241256, -0.42032492365262164, -0.8758159098298529, -Inf]"
"[0.9398989898989899, 0.6727272727272727, 0.7575757575757576, 0.6262626262626263, 9.595959595959596e-5]","[0.1599631820380996, 0.4210517872815862, 0.006658499521496224, 0.02572731908447365, 1.6991737863512818e-19]","[-0.00013104120164472743, -0.19416916056361655, -0.42031787927864483, -0.8757976642157415, -Inf]"
"[0.6651515151515152, 0.9272727272727272, 1.0, 0.050505050505050504, 5.252525252525252e-5]","[0.18724827330823357, 0.37790894660203705, 0.028256459369775527, 0.02597203465447163, 2.5590928491149202e-18]","[-0.00016953233247440311, -0.19428263586181702, -0.4202520850553819, -0.8757058831994232, -Inf]"
"[0.19292929292929292, 0.15454545454545454, 0.31313131313131315, 0.4444444444444444, 9.898989898989899e-5]","[0.15482587687331043, 0.4579492273212802, 0.002437045121522556, 0.03110354927063037, 1.0201238771568281e-19]","[-0.00018947579688154796, -0.19407411907309458, -0.420326254125296, -0.8758226686278993, -Inf]"
"[0.3474747474747475, 0.39090909090909093, 0.7474747474747475, 0.1414141414141414, 5.0505050505050505e-5]","[0.153850487727465, 0.49698412616180515, 0.0009108509526297536, 0.039575036115892706, 9.267881938701206e-20]","[-0.00028317927772849064, -0.19397932346086685, -0.420325150370418, -0.8758184199244767, -Inf]"
"[0.8712121212121212, 0.9545454545454546, 0.7777777777777778, 0.8888888888888888, 1.01010101010101e-6]","[0.1632839737102605, 0.4100394092017539, 0.00920884520981995, 0.024768898533108645, 2.363660458736048e-19]","[-0.0001244496255977013, -0.19419830825854176, -0.4203102115782243, -0.8757828580424084, -Inf]"
"[1.0, 0.5181818181818182, 0.494949494949495, 0.6262626262626263, 8.585858585858586e-5]","[0.15793388231356048, 0.43068357739023966, 0.00507202756991908, 0.026845807396927737, 1.388868790357895e-19]","[-0.00014180481610513474, -0.19414390298511688, -0.4203220212258269, -0.8758075395531404, -Inf]"
"[0.5621212121212121, 0.44545454545454544, 0.5959595959595959, 0.2828282828282828, 9.898989898989899e-5]","[0.1545282365894298, 0.46303568614871227, 0.0021352506261846016, 0.03205421791697231, 9.904831174658744e-20]","[-0.00020039631222675222, -0.19406141594323398, -0.42032634066334496, -0.8758236735503263, -Inf]"
"[0.2015151515151515, 0.2909090909090909, 0.2727272727272727, 0.7373737373737373, 7.979797979797979e-5]","[0.2626547293506688, 0.361422015243658, 0.10400859535959357, 0.05274392468751589, 4.575555325275102e-15]","[-0.0004371044988233452, -0.19429310894299623, -0.4201458574084681, -0.8755052176578751, -Inf]"
"[0.9484848484848485, 0.2, 0.6262626262626263, 0.47474747474747475, 9.292929292929293e-5]","[0.1541936850142044, 0.4707399551039151, 0.001751723607380955, 0.03358207556211799, 9.582469446020103e-20]","[-0.00021782351941613138, -0.19404237262140805, -0.42032625669092233, -0.8758242370258197, -Inf]"
"[0.23585858585858585, 0.7545454545454545, 0.010101010101010102, 0.25252525252525254, 0.0001]","[0.6698568421342742, 0.8312216023845913, 0.21514084892197727, 0.7140028890906434, 9.9999996066305e-5]","[-2.0524832855782765e-5, -0.19440433016997707, -0.41946006446755824, -0.8756715327575744, -Inf]"
"[0.4762626262626263, 0.45454545454545453, 0.1919191919191919, 0.2222222222222222, 5.151515151515152e-5]","[0.17031809637884013, 0.39547211226171347, 0.014618528184955222, 0.024247373296088656, 4.75622277620016e-19]","[-0.00012895697512027465, -0.19423699115933518, -0.42029274297498914, -0.8757561121900782, -Inf]"
"[0.6737373737373737, 0.10909090909090909, 0.37373737373737376, 0.8686868686868687, 9.191919191919192e-5]","[0.15614906493467803, 0.44301951895020675, 0.0036198178649360503, 0.02858893925156505, 1.1632428470757918e-19]","[-0.0001607448648064228, -0.19411198996569132, -0.4203249568610942, -0.8758165523933269, -Inf]"
"[0.3560606060606061, 0.6909090909090909, 0.5454545454545454, 0.20202020202020202, 6.161616161616162e-5]","[0.2550232391757583, 0.3614459354806709, 0.09527462403847482, 0.048796427599827885, 2.144883167960481e-15]","[-0.0004016395505464121, -0.1943025149378184, -0.4201515117562541, -0.8755288467778991, -Inf]"
"[0.6050505050505051, 0.2727272727272727, 0.8181818181818182, 0.7777777777777778, 7.979797979797979e-5]","[0.15508884674855425, 0.4542165515450972, 0.0026874561821945892, 0.03043573946915282, 1.0470707068268346e-19]","[-0.00018179694799024814, -0.19408350644995118, -0.42032609520763003, -0.8758215945205443, -Inf]"
"[0.23585858585858585, 0.43636363636363634, 0.7878787878787878, 0.7878787878787878, 8.888888888888889e-5]","[0.1640660577914238, 0.4079694020636869, 0.009807337674020247, 0.02463498517330299, 2.554747586076493e-19]","[-0.00012404646852736797, -0.19420380697236633, -0.42030831746319297, -0.875779602594066, -Inf]"
"[0.9227272727272727, 0.10909090909090909, 0.23232323232323232, 0.7272727272727273, 8.585858585858586e-5]","[0.15574968243633774, 0.446711023333686, 0.0032787177661395984, 0.029171274836285555, 1.1180255230590615e-19]","[-0.00016732818037373505, -0.19410254655880568, -0.420325460324006, -0.8758185272738828, -Inf]"
"[0.6823232323232323, 0.4090909090909091, 0.5959595959595959, 0.3434343434343434, 4.949494949494949e-5]","[0.1545686023452074, 0.4622748660122229, 0.0021777266710454636, 0.031909063596187115, 9.944499848597126e-20]","[-0.00019873133446813145, -0.1940633094815947, -0.4203263360393435, -0.87582355607194, -Inf]"
"[0.8712121212121212, 0.4909090909090909, 0.050505050505050504, 0.2828282828282828, 9.090909090909091e-6]","[0.15865234911067705, 0.42689942653097246, 0.005638427678947027, 0.026378837346604317, 1.4916410048369962e-19]","[-0.0001370981718075459, -0.19415379415723735, -0.4203206261984303, -0.8758039755571163, -Inf]"
"[0.9227272727272727, 0.2636363636363636, 0.6262626262626263, 0.7676767676767676, 1.5151515151515151e-5]","[0.15528257568566423, 0.45178440366663125, 0.0028653891728441815, 0.030014405844473784, 1.0673855402285418e-19]","[-0.0001769596034529273, -0.1940896525001411, -0.42032593984261946, -0.8758207359145009, -Inf]"
"[0.8883838383838384, 0.37272727272727274, 0.16161616161616163, 0.6363636363636364, 2.3232323232323232e-5]","[0.1594089486993729, 0.42338271324851584, 0.006228826824747045, 0.02597634705414268, 1.6081140235534892e-19]","[-0.00013326745894396455, -0.19416302425451878, -0.4203190678428845, -0.8758003006619958, -Inf]"
"[0.32171717171717173, 0.8636363636363636, 0.26262626262626265, 0.6262626262626263, 4.6464646464646464e-5]","[0.5843549899049391, 0.4558060833511185, 0.5071342569963, 0.2814287249419315, 9.997388088589128e-5]","[-0.0005042008082878438, -0.19516816988728564, -0.42020348358461496, -0.8742917139694703, -Inf]"
"[0.9828282828282828, 0.4090909090909091, 0.41414141414141414, 0.6565656565656566, 4.0404040404040405e-5]","[0.15698019080642595, 0.4366137841117648, 0.004306895726564612, 0.02764338079773549, 1.263327405472142e-19]","[-0.00015027484159909065, -0.19412849542134467, -0.42032370495003935, -0.8758123523254889, -Inf]"
"[0.26161616161616164, 0.14545454545454545, 0.23232323232323232, 0.4444444444444444, 7.171717171717172e-5]","[0.1551673970120743, 0.4532022904337434, 0.0027601717429168626, 0.030258700011012916, 1.055259865704115e-19]","[-0.00017976316356370123, -0.19408606668860642, -0.42032603574940636, -0.8758212519129971, -Inf]"
"[0.854040404040404, 0.8090909090909091, 0.8282828282828283, 0.6565656565656566, 1.919191919191919e-5]","[0.1658091775265873, 0.403850992509898, 0.011142330856698376, 0.024420792475799508, 3.038093834343822e-19]","[-0.00012417613869928883, -0.1942147533614108, -0.4203040288945416, -0.8757726277976186, -Inf]"
"[0.16717171717171717, 0.7, 0.7171717171717171, 0.494949494949495, 8.484848484848485e-5]","[0.19723500839466168, 0.37224861548181937, 0.03685041686827004, 0.0279403858446719, 6.903442348316984e-18]","[-0.00019899870234123593, -0.19429657680894236, -0.4202308133466638, -0.8756804290420793, -Inf]"
"[0.3560606060606061, 0.6454545454545455, 0.2727272727272727, 0.13131313131313133, 7.373737373737373e-5]","[0.7777321218939858, 0.6409531919775728, 0.7365728218395065, 0.48456173675426584, 9.999999999991014e-5]","[8.215272045550184e-6, -0.1949329702405189, -0.4201571791331944, -0.874638293884246, -Inf]"
"[0.9570707070707071, 0.9727272727272728, 0.8585858585858586, 0.6868686868686869, 6.464646464646465e-5]","[0.16605081899018356, 0.40332661217027294, 0.011327644502717251, 0.024398945047403444, 3.1119553893698407e-19]","[-0.00012428826303241701, -0.19421614716038085, -0.42030342901152945, -0.8757716895896287, -Inf]"
"[0.6994949494949495, 0.9545454545454546, 0.3939393939393939, 0.7272727272727273, 3.535353535353535e-5]","[0.20817046498676428, 0.36802101757311534, 0.04677281487741212, 0.03067603398823329, 2.0458762792888325e-17]","[-0.00023286751276379826, -0.1943062625968418, -0.4202101903786468, -0.8756536164798896, -Inf]"
"[0.7080808080808081, 0.4636363636363636, 0.6565656565656566, 0.06060606060606061, 7.979797979797979e-5]","[0.153896087103644, 0.5021071510186532, 0.0008050568830385166, 0.04088927286046615, 9.311618176412363e-20]","[-0.00029672119258715776, -0.19396735014750893, -0.42032493371566504, -0.8758160383106345, -Inf]"
"[0.3904040404040404, 0.6909090909090909, 0.1111111111111111, 0.696969696969697, 7.575757575757576e-5]","[0.4876090525403995, 0.4132306899323744, 0.3899355703458153, 0.21465209781037506, 1.956823516271881e-5]","[-0.0005501761471814967, -0.19498456921715412, -0.42014476906193526, -0.8745744198432048, -Inf]"
"[0.48484848484848486, 1.0, 0.696969696969697, 0.9090909090909091, 1.5151515151515151e-5]","[0.17550534761302253, 0.38841937883507643, 0.01868579391429966, 0.024479069488756736, 7.965291052267807e-19]","[-0.00013900497002491632, -0.19425556757646584, -0.42027981714039875, -0.8757391863284854, -Inf]"
"[0.9828282828282828, 0.7, 0.9797979797979798, 0.5050505050505051, 8.585858585858586e-5]","[0.15842709096659893, 0.4280339087821373, 0.00546155222345677, 0.02651524866238079, 1.458624770303309e-19]","[-0.0001384480542300933, -0.1941508241928759, -0.4203210734196918, -0.8758050856994617, -Inf]"
"[0.6823232323232323, 0.36363636363636365, 0.9494949494949495, 0.696969696969697, 8.282828282828283e-5]","[0.15499179485674827, 0.45552906623323336, 0.002596394983331165, 0.03066765374284558, 1.0370420075141699e-19]","[-0.00018446285456573869, -0.19408019932912746, -0.4203261614439619, -0.8758220054458251, -Inf]"
"[0.9227272727272727, 0.2818181818181818, 0.04040404040404041, 0.40404040404040403, 7.373737373737373e-5]","[0.15554621124691814, 0.44880318440828076, 0.003100963594986359, 0.029513043556534637, 1.0956747556099693e-19]","[-0.0001712216731077099, -0.1940972173459767, -0.4203256855349671, -0.8758195076599397, -Inf]"
"[0.8883838383838384, 0.4818181818181818, 0.6868686868686869, 0.7878787878787878, 7.272727272727273e-5]","[0.15677904621240427, 0.4380368633140252, 0.004142784014238895, 0.027846119363867793, 1.2383389134374156e-19]","[-0.0001524891003931693, -0.19412481592726008, -0.4203240293414557, -0.8758133726807941, -Inf]"
"[1.0, 0.1, 0.8181818181818182, 0.7676767676767676, 9.292929292929293e-5]","[0.1543814051306187, 0.466057437773023, 0.0019750878185547482, 0.03264092022209842, 9.761935070354562e-20]","[-0.00020711203746817672, -0.1940539182965373, -0.4203263340434262, -0.8758240288643865, -Inf]"
"[0.4505050505050505, 0.8909090909090909, 0.6161616161616161, 0.4444444444444444, 0.0]","[0.23593837254113845, 0.36255214653081824, 0.0743938721560717, 0.040151322415120344, 3.224794953725349e-16]","[-0.00032589239228643537, -0.19431315891487938, -0.42017003183168444, -0.8755832317283863, -Inf]"
"[0.48484848484848486, 0.2, 0.0, 0.7575757575757576, 8.98989898989899e-5]","[0.1812312373929485, 0.382592499520737, 0.023284412766725285, 0.025073745149506544, 1.4072608075944575e-18]","[-0.00015302349979570093, -0.19427070356751658, -0.4202659667166551, -0.8757222890349077, -Inf]"
"[0.5707070707070707, 1.0, 0.48484848484848486, 0.48484848484848486, 3.6363636363636364e-5]","[0.3406718620827337, 0.37031569390078456, 0.2015072586130308, 0.10569705104233507, 1.0620652410287278e-11]","[-0.0006994983846076883, -0.1943199452948634, -0.42012289501187106, -0.8752024452632009, -Inf]"
"[0.9914141414141414, 0.45454545454545453, 0.16161616161616163, 0.1717171717171717, 6.464646464646465e-5]","[0.15420501771093312, 0.4704211325753811, 0.001766041552056458, 0.03351676463113485, 9.593199558932772e-20]","[-0.00021708309248010658, -0.19404315592700622, -0.4203262641718481, -0.8758242357701783, -Inf]"
"[0.5535353535353535, 0.4, 0.3838383838383838, 0.0, 9.494949494949495e-5]","[0.154156193120286, 0.5155013869723756, 0.0005880371490866194, 0.04455754426741824, 9.560434074752626e-20]","[-0.00033292162299816203, -0.19393657527273914, -0.42032453893832145, -0.8758081184020458, -Inf]"
"[0.3904040404040404, 0.990909090909091, 0.35353535353535354, 1.0, 3.131313131313131e-5]","[0.22266746757059397, 0.3644455346205404, 0.06076493279972126, 0.03517076067154607, 8.633720517316259e-17]","[-0.0002798487549278012, -0.194312774845818, -0.42018711737297176, -0.8756177683752903, -Inf]"
"[0.16717171717171717, 0.7636363636363637, 0.9494949494949495, 0.9494949494949495, 6.363636363636364e-5]","[0.16320642736785887, 0.4102533158358961, 0.009149498008687645, 0.024783664391020848, 2.3455107169167707e-19]","[-0.00012450798581067692, -0.19419774026373077, -0.4203103980795542, -0.8757831853448721, -Inf]"
"[0.647979797979798, 0.7636363636363637, 0.6060606060606061, 0.696969696969697, 1.313131313131313e-5]","[0.17620735258913664, 0.38761247016161504, 0.019243073571814463, 0.024535511417861682, 8.540962672826818e-19]","[-0.0001405955516040556, -0.19425767788296436, -0.4202780906269418, -0.8757370277691618, -Inf]"
"[0.5106060606060606, 0.43636363636363634, 0.9393939393939394, 0.7171717171717171, 4.545454545454545e-5]","[0.15605181946749894, 0.44387393798728975, 0.0035375815593801166, 0.028721343655743584, 1.1520660022103542e-19]","[-0.00016223483850001574, -0.19410979970765524, -0.42032508625149223, -0.8758170377629634, -Inf]"
"[0.22727272727272727, 0.9636363636363636, 0.7373737373737373, 0.1111111111111111, 5.252525252525252e-5]","[0.3491342378618566, 0.3720301604624845, 0.21255269104844765, 0.11222565102169006, 2.463911638323639e-11]","[-0.0006571914184646528, -0.19439580609491852, -0.4201224727718127, -0.8751649391933107, -Inf]"
"[0.9742424242424242, 0.22727272727272727, 0.9191919191919192, 0.1111111111111111, 9.090909090909091e-6]","[0.1541917567741344, 0.5168052976673243, 0.0005707826105229124, 0.04493304540969637, 9.594817222174427e-20]","[-0.0003364954520580225, -0.19393362091766098, -0.42032451766702517, -0.8758072235438358, -Inf]"
"[0.31313131313131315, 0.5727272727272728, 0.08080808080808081, 0.43434343434343436, 8.98989898989899e-5]","[0.7885222156967683, 0.677102347651062, 0.7235145623339589, 0.5214225077332969, 9.999999999997004e-5]","[7.463975909423609e-5, -0.1947927972824102, -0.42011531210838876, -0.8747899327703361, -Inf]"
"[0.32171717171717173, 0.11818181818181818, 0.2828282828282828, 0.30303030303030304, 8.585858585858586e-5]","[0.1538784383007267, 0.4847616943381431, 0.001230089088429198, 0.036631731412446016, 9.290187599758789e-20]","[-0.00025177908706513585, -0.19400833317447502, -0.4203257248406109, -0.8758225246678301, -Inf]"
"[0.6393939393939394, 0.7454545454545455, 0.8282828282828283, 0.9696969696969697, 6.0606060606060605e-5]","[0.16111426418089778, 0.41673789611968803, 0.0075458021288967, 0.02530657993999998, 1.9051224735987091e-19]","[-0.00012763981761472484, -0.19418055149343433, -0.4203153108215065, -0.8757923424971457, -Inf]"
"[0.48484848484848486, 0.4818181818181818, 0.797979797979798, 0.5858585858585859, 2.3232323232323232e-5]","[0.15838536604506145, 0.4282489787982859, 0.005428723955961966, 0.02654145981166555, 1.4525899677108234e-19]","[-0.0001387099832144103, -0.19415026159765456, -0.42032115532112846, -0.875805292093049, -Inf]"
"[0.7681818181818182, 0.3181818181818182, 0.5252525252525253, 0.7272727272727273, 2.121212121212121e-5]","[0.15625502605761835, 0.44211739737269534, 0.003708903676385718, 0.02845071919116581, 1.1755457043231899e-19]","[-0.00015919456838768586, -0.1941143054363396, -0.42032481131749927, -0.8758160211604187, -Inf]"
"[0.6393939393939394, 0.33636363636363636, 0.9393939393939394, 0.9797979797979798, 6.060606060606061e-6]","[0.1551073837706391, 0.45397350265322406, 0.002704691718042833, 0.030393142054551094, 1.0489974123379576e-19]","[-0.0001813074737019674, -0.1940841195972458, -0.4203260816321913, -0.875821514421076, -Inf]"
"[0.6823232323232323, 0.3181818181818182, 0.6464646464646465, 0.24242424242424243, 9.090909090909091e-6]","[0.1538553155951665, 0.4873348953872388, 0.0011539573145953228, 0.037229149050420615, 9.269544305186008e-20]","[-0.00025826901335829813, -0.1940021741339527, -0.42032560344054654, -0.875821853088724, -Inf]"
"[0.22727272727272727, 0.20909090909090908, 0.25252525252525254, 0.9494949494949495, 2.3232323232323232e-5]","[0.19063479234688394, 0.375742142321378, 0.031121798627961054, 0.026578031537150566, 3.582965706044625e-18]","[-0.00017930778932878075, -0.194288052185835, -0.42024461607191976, -0.8756970651219164, -Inf]"
"[0.7080808080808081, 0.9818181818181818, 0.7474747474747475, 0.7676767676767676, 9.797979797979798e-5]","[0.1695516673728887, 0.39671573126253296, 0.014024379792956973, 0.02424684821932825, 4.407310603120243e-19]","[-0.00012781054254901294, -0.1942336978403959, -0.42029466722692327, -0.8757587839254233, -Inf]"
"[0.9484848484848485, 0.9, 0.010101010101010102, 0.7878787878787878, 9.696969696969698e-5]","[0.20291707986513097, 0.3698480597720242, 0.04193833627323425, 0.029290108555636695, 1.2140435200781599e-17]","[-0.00021643303527371896, -0.19430220284956648, -0.4202197469678705, -0.8756664451922136, -Inf]"
"[0.36464646464646466, 0.21818181818181817, 0.8181818181818182, 0.29292929292929293, 1.1111111111111112e-5]","[0.15383791388249912, 0.49152138737943857, 0.0010407610429465507, 0.03822637140353282, 9.254688017079046e-20]","[-0.00026897189785317544, -0.19399221227870841, -0.4203254035730419, -0.8758205375360829, -Inf]"
"[0.7252525252525253, 0.43636363636363634, 0.7676767676767676, 0.2222222222222222, 5.3535353535353534e-5]","[0.1539275371522842, 0.4811687211784362, 0.0013455745838852977, 0.03581720812002679, 9.334715200322033e-20]","[-0.0002428400786056652, -0.19401697877698576, -0.42032588769192564, -0.8758232826087561, -Inf]"
"[0.8368686868686869, 0.19090909090909092, 0.050505050505050504, 0.7575757575757576, 4.242424242424242e-5]","[0.1588545364699076, 0.4259173796706563, 0.005796718859854527, 0.02626330242744591, 1.5219127536491586e-19]","[-0.00013597365565854157, -0.1941563681353385, -0.42032021786043644, -0.8758029852089105, -Inf]"
"[0.5363636363636364, 0.7636363636363637, 0.6666666666666666, 0.46464646464646464, 1.2121212121212122e-5]","[0.18841307225052514, 0.3771305727438827, 0.0292364396486671, 0.026172891601458532, 2.873148519768728e-18]","[-0.00017286334786269691, -0.19428459064547418, -0.4202494871569706, -0.875702822552123, -Inf]"
"[0.23585858585858585, 0.2727272727272727, 0.9191919191919192, 0.18181818181818182, 5.4545454545454546e-5]","[0.15392619777976935, 0.5043774198114402, 0.0007625987800827051, 0.04148718060107002, 9.340290437604499e-20]","[-0.0003027821041028368, -0.19396207972843585, -0.42032484718266144, -0.8758148647809852, -Inf]"
"[0.2787878787878788, 0.16363636363636364, 0.42424242424242425, 0.030303030303030304, 7.272727272727273e-5]","[0.1545769757394548, 0.5282279626655834, 0.00044314414127858423, 0.04836756260598154, 9.974524870512397e-20]","[-0.00036807797290661803, -0.19390806219244416, -0.4203244900149837, -0.8757985088227268, -Inf]"
"[0.544949494949495, 0.22727272727272727, 0.16161616161616163, 0.6161616161616161, 8.888888888888889e-5]","[0.15996926116626886, 0.42102722910613943, 0.006663201849322714, 0.025724773772666458, 1.7002006780704729e-19]","[-0.0001310191420808546, -0.19416922528800432, -0.4203178660490252, -0.8757976355642619, -Inf]"
"[0.26161616161616164, 0.5181818181818182, 0.4444444444444444, 0.5757575757575758, 8.888888888888889e-5]","[0.252834626672045, 0.3614930067167274, 0.09280838026412855, 0.04771571394039974, 1.7259926596560763e-15]","[-0.0003921303489285296, -0.1943045757337489, -0.4201533061304599, -0.8755354145973216, -Inf]"
"[0.23585858585858585, 0.8090909090909091, 0.5858585858585859, 0.0, 2.4242424242424244e-5]","[0.36645477343750915, 0.3758855299026728, 0.2352090726189809, 0.12566060682869387, 1.3803798159100526e-10]","[-0.0006066544930206027, -0.1945150827646925, -0.4201222059265606, -0.8750872356377394, -Inf]"
"[0.3303030303030303, 0.17272727272727273, 0.9191919191919192, 0.7474747474747475, 7.272727272727273e-5]","[0.15455584902103442, 0.4625123970060452, 0.0021643693372434057, 0.031954270190222296, 9.931948838195132e-20]","[-0.0001992499974141083, -0.19406271806283465, -0.4203263377726708, -0.875823593972191, -Inf]"
"[0.7166666666666667, 0.35454545454545455, 0.6363636363636364, 0.06060606060606061, 8.282828282828283e-5]","[0.1540770215200434, 0.5123273642699073, 0.0006326604692881256, 0.04365732445045315, 9.484258359857209e-20]","[-0.0003242548125796395, -0.19394379792390343, -0.4203246047236406, -0.8758102073910977, -Inf]"
"[0.4075757575757576, 0.509090909090909, 0.8585858585858586, 0.24242424242424243, 9.292929292929293e-5]","[0.15460077067888228, 0.4616868357492279, 0.0022111745822816003, 0.03179758503589885, 9.976231455932484e-20]","[-0.00019745187139535178, -0.1940647745648634, -0.4203263305893173, -0.8758234574500665, -Inf]"
"[0.8797979797979798, 0.22727272727272727, 0.6767676767676768, 0.9090909090909091, 1.5151515151515151e-5]","[0.15516205748676914, 0.4532699652076999, 0.0027552547244988927, 0.03027045339698782, 1.0547011421155398e-19]","[-0.00017989813738571227, -0.1940858957360758, -0.4203260399489618, -0.875821275457923, -Inf]"
"[0.7166666666666667, 0.43636363636363634, 0.030303030303030304, 0.29292929292929293, 6.96969696969697e-5]","[0.1598572529785706, 0.4214830829187914, 0.006576527205775197, 0.02577229047576397, 1.681379488821591e-19]","[-0.00013143343913474246, -0.19416802410463757, -0.42031810916297707, -0.875798164400582, -Inf]"
"[0.23585858585858585, 0.8272727272727273, 0.09090909090909091, 0.2828282828282828, 6.666666666666667e-5]","[0.722669171316308, 0.8077080277384486, 0.321750957164809, 0.6785409715522285, 9.999999997981226e-5]","[-2.687320991779633e-5, -0.19447496858792543, -0.41955076315635437, -0.875422329730711, -Inf]"
"[0.854040404040404, 0.6636363636363637, 0.25252525252525254, 0.6767676767676768, 5.6565656565656563e-5]","[0.17821737076196234, 0.38545604028089325, 0.020848552611118537, 0.02472412264431061, 1.0429807775021308e-18]","[-0.00014536949300754558, -0.19426329700896142, -0.4202731882570755, -0.8757309911030899, -Inf]"
"[0.9828282828282828, 0.8, 0.6161616161616161, 0.5454545454545454, 8.484848484848485e-5]","[0.1702962550977352, 0.3955067002794835, 0.014601574782293354, 0.024247216890056267, 4.745907302032775e-19]","[-0.00012892280499701535, -0.1942368996169796, -0.42029279779701617, -0.8757561876402892, -Inf]"
"[0.9914141414141414, 0.4909090909090909, 0.6161616161616161, 0.09090909090909091, 4.545454545454545e-5]","[0.15383758850649568, 0.49312956727380725, 0.001000532727622705, 0.038617801208135114, 9.254853065772147e-20]","[-0.00027312741886167583, -0.1939884049673488, -0.4203253275145874, -0.8758199605150805, -Inf]"
"[0.18434343434343434, 0.5727272727272728, 0.9797979797979798, 0.6363636363636364, 2.5252525252525253e-5]","[0.16429715514161114, 0.40738628022239565, 0.009984202979572133, 0.024600297488988898, 2.6141150343656977e-19]","[-0.0001239873593552528, -0.19420535652811172, -0.4203077536507683, -0.8757786561158625, -Inf]"
"[0.544949494949495, 0.1, 0.9393939393939394, 0.494949494949495, 5.0505050505050505e-5]","[0.15392517593217273, 0.48131287030020814, 0.0013407235702762883, 0.035849446718128175, 9.332560706238217e-20]","[-0.00024319581269324398, -0.1940166308947634, -0.4203258813757217, -0.8758232563053524, -Inf]"
"[0.19292929292929292, 0.15454545454545454, 0.5959595959595959, 0.30303030303030304, 4.7474747474747476e-5]","[0.15383983273028357, 0.4905340640131108, 0.0010663276920237592, 0.037988362309427516, 9.256173031876205e-20]","[-0.00026643247369467305, -0.19399455507381164, -0.4203254506155941, -0.8758208722625143, -Inf]"
"[0.9656565656565657, 0.24545454545454545, 0.36363636363636365, 0.030303030303030304, 5.4545454545454546e-5]","[0.15436588409797233, 0.5224540490241673, 0.0005026872964542986, 0.04659859582150828, 9.764756876698565e-20]","[-0.0003520577160441019, -0.1939209087858221, -0.4203244670458358, -0.8758031067316393, -Inf]"
"[0.8883838383838384, 0.8818181818181818, 0.6868686868686869, 0.35353535353535354, 8.585858585858586e-5]","[0.18693842418432643, 0.3781222474469033, 0.027996746027358792, 0.025919986831402557, 2.4814922597420753e-18]","[-0.00016865237794801486, -0.1942820985591673, -0.4202527811603478, -0.8757067027583578, -Inf]"
"[0.8196969696969697, 0.7, 0.7070707070707071, 0.5757575757575758, 3.0303030303030302e-5]","[0.16563574336411122, 0.4042337965943239, 0.011009372254099188, 0.024437553457373716, 2.9861641365825003e-19]","[-0.00012410848854330685, -0.19421373582841925, -0.42030445878707984, -0.8757733053246399, -Inf]"
"[0.8712121212121212, 0.6090909090909091, 0.30303030303030304, 0.3434343434343434, 6.363636363636364e-5]","[0.16469577910164526, 0.4064086911954839, 0.010289341739035155, 0.0245452688678592, 2.7197800907210016e-19]","[-0.00012394403381496002, -0.1942079547004443, -0.4203067772974638, -0.8757770395764574, -Inf]"
"[0.25303030303030305, 0.4727272727272727, 0.050505050505050504, 0.1717171717171717, 8.08080808080808e-6]","[0.44070252388457837, 0.8493734168810279, 0.04140312906682006, 0.545430682059444, 2.828520438024389e-7]","[-0.00044631722594318967, -0.19417465026273453, -0.41964549698985926, -0.8756622771015271, -Inf]"
